,Instrument,Company Name,TRBC Business Sector Name,Company Market Cap,Credit Combined PD (%),Return On Assets - Actual,Total Debt to Common Equity,Price Momentum T12M Volatility
95,ALKS.OQ,Alkermes Plc,Pharmaceuticals & Medical Research,4706052265.2,0.057425,2.899,0.28098,8.138546
96,ALGT.OQ,Allegiant Travel Co,Transportation,1400513809.8,0.375548,1.33,1.71785,19.699815
97,ALLE.N,Allegion PLC,Technology Equipment,10515194655.48,0.111415,14.26,2.22393,7.954225
98,ALGM.OQ,Allegro Microsystems Inc,Technology Equipment,5046664058.58,0.042825,23.85,0.02589,16.09133
99,ALE.N,ALLETE Inc,Utilities,3502098286.65,0.076193,2.85,0.71355,5.953176
100,LNT.OQ,Alliant Energy Corp,Utilities,12855922403.06,0.088283,3.589,1.41077,2.880384
101,ALSN.N,Allison Transmission Holdings Inc,Industrial Goods,5097049195.52,0.209394,11.63,2.86842,6.479393
102,ALLO.OQ,Allogene Therapeutics Inc,Pharmaceuticals & Medical Research,541850851.64,0.234801,-35.85,,17.918662
103,ALL.N,Allstate Corp,Insurance,39522597275.92,0.189968,-0.268,0.51321,10.263769
104,ALLY.N,Ally Financial Inc,Banking & Investment Services,9962851946.85,0.489588,1.03,1.91372,16.110308
105,ALNY.OQ,Alnylam Pharmaceuticals Inc,Pharmaceuticals & Medical Research,24269077152.53,0.33891,-31.469,,11.830435
106,AOSL.OQ,Alpha and Omega Semiconductor Ltd,Technology Equipment,734344890.03,0.066464,,0.06095,13.278576
107,AMR.N,Alpha Metallurgical Resources Inc,Mineral Resources,4888362592.0,0.098058,,0.00768,13.305447
108,GOOGL.OQ,Alphabet Inc,Software & IT Services,1794510150000.0,0.023371,16.55,0.05856,3.639138
109,GOOG.OQ,Alphabet Inc,Software & IT Services,1794510150000.0,0.023371,16.55,0.05856,3.6402
110,ATEC.OQ,Alphatec Holdings Inc,Healthcare Services & Equipment,2036331920.16,0.460507,,,14.025951
111,ALTG.N,Alta Equipment Group Inc,Industrial Goods,362199173.28,1.082133,,5.75894,11.715566
112,ALTR.OQ,Altair Engineering Inc,Software & IT Services,6878370887.1,0.038707,6.389,0.53656,9.678741
113,ALCC.N,AltC Acquisition Corp,Investment Holding Companies,458589543.44,,,0.0,
114,AYX.N,Alteryx Inc,Software & IT Services,3427475686.11,0.235671,-0.08,5.05305,21.407563
115,ATUS.N,Altice USA Inc,Telecommunications Services,1127811329.84,1.192882,2.33,,19.143652
116,ALTO.OQ,Alto Ingredients Inc,Renewable Energy,165983238.0,1.003699,,0.22187,35.090547
117,MO.N,Altria Group Inc,Food & Beverages,73115853503.16,0.05717,22.86,,3.679829
118,AMPS.N,Altus Power Inc,Utilities,972715737.28,0.690842,0.04,1.56699,13.254668
119,AWR.N,American States Water Co,Utilities,2907044337.12,0.103541,,1.021,4.139542
120,AMZN.OQ,Amazon.com Inc,Retailers,1597847809207.32,0.053039,-0.3,0.6361,6.029518
121,AMBC.N,Ambac Financial Group Inc,Insurance,709102285.53,0.594914,,3.52466,9.832088
122,AMBA.OQ,Ambarella Inc,Technology Equipment,2270393797.93,0.093394,6.3,,15.081141
123,AMC.N,AMC Entertainment Holdings Inc,Cyclical Consumer Services,904507454.88,10.193546,-9.76,,38.212404
124,AMCX.OQ,AMC Networks Inc,Cyclical Consumer Services,794923061.0,0.617371,7.08,3.51392,16.448818
125,AMCR.N,Amcor PLC,Applied Resources,14092096317.0,0.35549,6.33,1.67561,
126,AMD.OQ,Advanced Micro Devices Inc,Technology Equipment,236767517464.96,0.040146,13.759,0.04506,10.125214
127,DOX.OQ,Amdocs Ltd,Software & IT Services,10680907923.68,0.017999,11.109,0.1846,5.807231
128,AMED.OQ,Amedisys Inc,Healthcare Services & Equipment,3076671955.16,0.120455,8.529,0.41359,11.669384
129,AEO.N,American Eagle Outfitters Inc,Retailers,4126576131.5,0.08029,5.509,0.00557,11.661055
130,AMSC.OQ,American Superconductor Corp,Industrial Goods,306520146.21,0.266825,-65.98,0.00111,25.854664
131,AVD.N,American Vanguard Corp,Chemicals,291816955.85,0.690406,,0.13913,11.89097
132,AMWD.OQ,American Woodmark Corp,Cyclical Consumer Products,1451991658.8,0.114729,8.07,0.42534,11.699849
133,AAT.N,American Assets Trust Inc,Real Estate,1422778080.9,0.57184,,1.34949,14.598535
134,AEE.N,Ameren Corp,Utilities,18903119500.72,0.215853,2.919,1.43652,4.231616
135,AMRC.N,Ameresco Inc,Renewable Energy,1360709376.25,0.88063,3.91,1.09233,20.066344
136,CRMT.OQ,America's CAR-MART Inc,Retailers,387533839.56,2.184248,1.589,1.28118,16.598766
137,AAL.OQ,American Airlines Group Inc,Transportation,8633270665.5,0.36067,0.5,,12.801931
138,AXL.N,American Axle & Manufacturing Holdings Inc,Automobiles & Auto Parts,938829604.96,1.041862,1.3,4.82449,13.241741
139,AXP.N,American Express Co,Banking & Investment Services,132660844837.08,0.147047,3.549,1.77739,9.506096
140,AFG.N,American Financial Group Inc,Insurance,9955317043.47,0.064036,,0.3692,5.091602
141,AMH.N,American Homes 4 Rent,Real Estate,12943499247.25,0.125578,2.169,0.69521,5.25141
142,AMT.N,American Tower Corp,Real Estate,97628960662.74,0.294471,2.58,6.9396,6.503285
143,AWK.N,American Water Works Company Inc,Utilities,25741947653.37,0.107728,2.99,1.60991,6.236144
144,COLD.N,Americold Realty Trust Inc,Real Estate,8417706038.83,0.440915,-0.24,0.8793,8.172731
145,AMP.N,Ameriprise Financial Inc,Banking & Investment Services,38090246668.8,0.156198,1.63,1.41599,8.896734
146,ABCB.OQ,Ameris Bancorp,Banking & Investment Services,3505082616.36,0.16613,1.34,0.62678,14.913747
147,AMSF.OQ,Amerisafe Inc,Insurance,890224971.09,0.015578,,0.00072,4.562838
148,AEL.N,American Equity Investment Life Holding Co,Insurance,4377185112.14,0.144736,0.48,0.37064,13.693385
149,AME.N,AMETEK Inc,Industrial Goods,37721732500.08,0.024308,10.81,0.319,4.39991
150,AMGN.OQ,Amgen Inc,Pharmaceuticals & Medical Research,164037417055.77,0.112436,15.16,10.6378,8.152026
151,FOLD.OQ,Amicus Therapeutics Inc,Pharmaceuticals & Medical Research,3864978826.84,0.218571,-29.039,3.18569,11.434885
152,AMKR.OQ,Amkor Technology Inc,Technology Equipment,7402535593.68,0.070917,11.9,0.35132,12.891242
153,AMN.N,AMN Healthcare Services Inc,Healthcare Services & Equipment,2912031128.4,0.266587,17.73,0.80824,12.438255
154,AMRX.OQ,Amneal Pharmaceuticals Inc,Pharmaceuticals & Medical Research,1655338674.6,0.894206,5.37,9.33549,24.067434
155,AMPH.OQ,Amphastar Pharmaceuticals Inc,Pharmaceuticals & Medical Research,2597060750.31,0.08804,,0.14354,10.526629
156,APH.N,Amphenol Corp,Technology Equipment,57736937291.5,0.045202,12.429,0.6525,5.155757
157,AMPL.OQ,Amplitude Inc,Software & IT Services,1509555242.64,0.028951,,,17.620216
158,AMLX.OQ,Amylyx Pharmaceuticals Inc,Pharmaceuticals & Medical Research,1066105319.87,0.055919,,0.0,12.316399
159,ADI.OQ,Analog Devices Inc,Technology Equipment,93475849668.08,0.091048,10.3,0.19538,6.198836
160,ANAB.OQ,AnaptysBio Inc,Pharmaceuticals & Medical Research,615481122.48,0.501338,-20.539,,15.149822
161,AVXL.OQ,Anavex Life Sciences Corp,Pharmaceuticals & Medical Research,491698200.89,0.054072,,,16.812196
162,ANDE.OQ,Andersons Inc,Food & Beverages,1771996852.5,0.13228,,0.73022,10.135498
163,ANGO.OQ,AngioDynamics Inc,Healthcare Services & Equipment,239131146.0,0.192337,-0.29,0.26415,12.326835
164,ANIP.OQ,ANI Pharmaceuticals Inc,Pharmaceuticals & Medical Research,1159626416.78,0.127428,,0.91338,10.25337
165,NLY.N,Annaly Capital Management Inc,Real Estate,9821767619.64,0.716667,2.189,7.01751,8.5799
166,ANSS.OQ,ANSYS Inc,Software & IT Services,30099688783.44,0.071421,10.74,0.15487,8.816215
167,ATEX.OQ,Anterix Inc,Telecommunications Services,566656518.44,0.179461,-23.449,,11.566808
168,AM.N,Antero Midstream Corp,Energy - Fossil Fuels,5881281380.0,0.416209,,1.53321,4.726685
169,AR.N,Antero Resources Corp,Energy - Fossil Fuels,7047756800.0,0.566116,12.72,0.17553,13.365472
170,HOUS.N,Anywhere Real Estate Inc,Real Estate,776729726.1,2.514024,1.879,1.72166,24.540029
171,AAOI.OQ,Applied Optoelectronics Inc,Technology Equipment,618691822.98,0.297763,,0.80674,44.64026
172,AON.N,Aon PLC,Insurance,60112955422.8,0.063841,8.83,,5.094808
173,APA.OQ,APA Corp (US),Energy - Fossil Fuels,9861398864.18,0.2949,19.359,12.89125,15.670028
174,AIRC.N,Apartment Income REIT Corp,Real Estate,5269688689.35,0.184865,13.91,1.69031,7.918511
175,APLS.OQ,Apellis Pharmaceuticals Inc,Pharmaceuticals & Medical Research,8322251137.35,0.332444,-79.439,2.57775,31.367148
176,APG.N,APi Group Corp,Industrial & Commercial Services,7683917180.64,0.144432,5.4,1.31968,7.001241
177,APOG.OQ,Apogee Enterprises Inc,Cyclical Consumer Products,1170731044.98,0.040715,,0.42844,9.105385
178,ARI.N,Apollo Commercial Real Estate Finance Inc,Real Estate,1655309264.55,1.094328,2.66,2.96048,11.393494
179,APO.N,Apollo Global Management Inc,Banking & Investment Services,54150449646.44,0.111631,,0.98223,11.657392
180,AMEH.OQ,Apollo Medical Holdings Inc,Healthcare Services & Equipment,1759585381.1,0.11469,,0.37945,11.212061
181,APPF.OQ,Appfolio Inc,Software & IT Services,6475802516.64,0.019404,,0.0,9.981966
182,APPN.OQ,Appian Corp,Software & IT Services,2468519284.71,0.174248,-16.239,0.8107,15.516754
183,AAPL.OQ,Apple Inc,Technology Equipment,2891567651840.0,0.022462,27.5,1.80401,5.67514
184,APLE.N,Apple Hospitality REIT Inc,Real Estate,3766166544.92,0.168169,,0.46509,6.7665
185,AMAT.OQ,Applied Materials Inc,Technology Equipment,125698899631.25,0.038948,23.679,0.35892,6.122435
186,APLD.OQ,Applied Digital Corp,Financial Technology (Fintech) & Infrastructure,796188835.05,0.217515,,1.52032,34.40054
187,AIT.N,Applied Industrial Technologies Inc,Industrial Goods,6561681923.61,0.02794,13.349,0.42655,5.310893
188,APP.OQ,Applovin Corp,Software & IT Services,14006283568.12,0.299991,-3.8,1.74543,20.758675
189,ATR.N,Aptargroup Inc,Applied Resources,8316725839.67,0.039091,6.049,0.57226,2.723893
190,APTV.N,Aptiv PLC,Automobiles & Auto Parts,22877890611.12,0.145195,4.849,0.73686,12.476771
191,ARMK.N,Aramark,Cyclical Consumer Services,7543529078.88,0.225217,2.79,2.22573,8.976452
192,ABR.N,Arbor Realty Trust Inc,Real Estate,2772859153.82,1.016427,1.819,5.88796,12.967942
193,ARCB.OQ,ArcBest Corp,Transportation,2790917330.6,0.061981,15.12,0.22983,12.186232
194,ACLX.OQ,Arcellx Inc,Pharmaceuticals & Medical Research,2705004549.72,0.134581,,0.26314,14.344594
195,ACGL.OQ,Arch Capital Group Ltd,Insurance,28991725610.21,0.038436,,0.22561,6.399577
196,ARCH.N,Arch Resources Inc,Energy - Fossil Fuels,3132727708.4,0.099044,,0.13062,9.085268
197,ACHR.N,Archer Aviation Inc,Industrial Goods,1555020745.19,0.195085,-34.939,0.01885,23.248956
198,ADM.N,Archer-Daniels-Midland Co,Food & Beverages,37102000097.8,0.065802,12.15,0.37803,7.212016
199,AROC.N,Archrock Inc,Energy - Fossil Fuels,2286249568.15,0.196667,,1.79894,7.962625
200,ARCO.N,Arcos Dorados Holdings Inc,Cyclical Consumer Services,2523623767.35,0.073978,5.79,2.2624,8.876731
201,ACA.N,Arcosa Inc,Industrial & Commercial Services,3848624116.38,0.089689,,0.25206,6.059879
202,ARCT.OQ,Arcturus Therapeutics Holdings Inc,Pharmaceuticals & Medical Research,885878455.8,0.238507,,0.22439,25.047132
203,RCUS.N,Arcus Biosciences Inc,Pharmaceuticals & Medical Research,1310720943.15,0.124297,,0.0,14.791318
204,ARQT.OQ,Arcutis Biotherapeutics Inc,Pharmaceuticals & Medical Research,343550749.36,1.489692,,0.94364,37.688875
205,AMBP.N,Ardagh Metal Packaging SA,Applied Resources,2175223625.12,0.665113,4.24,7.89451,15.897252
206,ARDX.OQ,Ardelyx Inc,Pharmaceuticals & Medical Research,2096203512.27,0.146114,,0.56516,23.853035
207,ASC.N,Ardmore Shipping Corp,Energy - Fossil Fuels,621547677.45,0.03735,,0.37132,14.552001
208,ACRE.N,Ares Commercial Real Estate Corp,Real Estate,556023530.66,1.05876,4.62,2.32304,11.874108
209,ARES.N,Ares Management Corp,Banking & Investment Services,36278477434.99,0.181408,2.819,8.27059,6.550855
210,ARHS.OQ,Arhaus Inc,Retailers,1501027094.2,0.074384,18.719,0.24972,21.718976
211,ANET.N,Arista Networks Inc,Technology Equipment,78406568788.26,0.015385,23.149,,10.218942
212,ARLO.N,Arlo Technologies Inc,Retailers,845979746.58,0.060831,,0.04105,15.677942
213,AHH.N,Armada Hoffler Properties Inc,Real Estate,1101252872.2,0.418957,,2.34009,9.234665
214,ARR.N,ARMOUR Residential REIT Inc,Real Estate,969618649.36,1.008499,1.839,5.8102,12.100304
215,AWI.N,Armstrong World Industries Inc,Cyclical Consumer Products,4355734298.15,0.110279,12.949,1.24841,9.602298
216,ARRY.OQ,Array Technologies Inc,Renewable Energy,2147274016.0,0.611314,4.019,6.14001,18.468598
217,ARW.N,Arrow Electronics Inc,Technology Equipment,6255410584.5,0.143156,7.099,0.68024,7.423561
218,ARWR.OQ,Arrowhead Pharmaceuticals Inc,Pharmaceuticals & Medical Research,4484605860.0,0.304809,,,19.961717
219,SPRY.OQ,ARS Pharmaceuticals Inc,Pharmaceuticals & Medical Research,567343759.32,0.091898,,0.0,28.944126
220,AJG.N,Arthur J. Gallagher & Co.,Insurance,50693320000.0,0.040145,,0.66874,5.280643
221,APAM.N,Artisan Partners Asset Management Inc,Banking & Investment Services,3382344674.1,0.060747,0.176,0.75909,12.015708
222,ARVN.OQ,Arvinas Inc,Pharmaceuticals & Medical Research,2632921551.04,0.191323,-19.82,0.00177,30.465871
223,ASAN.N,Asana Inc,Software & IT Services,4134695413.46,0.120275,-24.94,0.14033,15.543926
224,ABG.N,Asbury Automotive Group Inc,Retailers,4161361939.56,0.835221,10.509,1.18712,10.422757
225,ASGN.N,ASGN Inc,Software & IT Services,4246112000.0,0.191471,9.5,0.5916,9.57701
226,ASH.N,Ashland Inc,Chemicals,4128792504.87,0.116629,4.87,0.42945,7.570548
227,ASPN.N,Aspen Aerogels Inc,Chemicals,1026063378.0,0.374719,-79.79,0.2315,23.380757
228,AZPN.OQ,Aspen Technology Inc,Software & IT Services,12772994464.08,0.040537,2.53,0.0,15.274847
229,ASRT.OQ,Assertio Holdings Inc,Pharmaceuticals & Medical Research,85712880.7242,1.499263,,0.29626,26.579374
230,AMK.N,AssetMark Financial Holdings Inc,Banking & Investment Services,2236872582.96,0.030626,9.029,0.10499,8.752624
231,ASB.N,Associated Banc-Corp,Banking & Investment Services,3159168172.16,0.210302,1.0,1.35393,14.197771
232,AIZ.N,Assurant Inc,Insurance,8658519676.8,0.12988,,0.50368,9.53675
233,AGO.N,Assured Guaranty Ltd,Insurance,4322298695.77,0.077068,1.52,0.33077,10.195829
234,ASTS.OQ,AST SpaceMobile Inc,Telecommunications Services,909285785.975,1.183008,-28.69,0.03744,25.286341
235,ASTE.OQ,Astec Industries Inc,Industrial Goods,777001744.32,0.176524,2.91,0.13989,14.929392
236,ASUR.OQ,Asure Software Inc,Software & IT Services,210153207.72,0.107178,,0.24059,16.531007
237,T.N,AT&T Inc,Telecommunications Services,117832331544.64,0.174754,3.87,1.39508,7.848393
238,ATI.N,ATI Inc,Industrial Goods,5474338166.92,0.165896,6.59,1.67129,10.716509
239,ATKR.N,Atkore Inc,Industrial Goods,5605834953.3,0.070747,,0.52132,9.87556
240,BATRA.OQ,Atlanta Braves Holdings Inc,Cyclical Consumer Services,2473158527.16,8.92728,,2.18227,8.162907
241,BATRK.OQ,Atlanta Braves Holdings Inc,Cyclical Consumer Services,2473158527.16,8.92728,,2.18227,6.39455
242,AUB.N,Atlantic Union Bankshares Corp,Banking & Investment Services,2639819339.01,0.161717,1.16,0.72368,13.218933
243,AY.OQ,Atlantica Sustainable Infrastructure PLC,Utilities,2357911441.9,0.289208,-0.23,3.48169,8.821205
244,AESI.N,Atlas Energy Solutions Inc,Mineral Resources,1625415740.0,0.119012,,0.32723,11.221979
245,TEAM.OQ,Atlassian Corp,Software & IT Services,61159939629.0,0.047279,13.24,1.52686,15.052962
246,ATO.N,Atmos Energy Corp,Utilities,17465015365.02,0.112702,3.96,0.63409,2.026249
247,ATMU.N,Atmus Filtration Technologies Inc,Automobiles & Auto Parts,1887528057.36,0.073738,,0.00245,
248,ATRC.OQ,AtriCure Inc,Healthcare Services & Equipment,1658353919.18,0.122568,-7.74,0.15393,9.454126
249,AUR.OQ,Aurora Innovation Inc,Software & IT Services,4954511458.66,0.107883,,,31.810647
250,ADSK.OQ,Autodesk Inc,Software & IT Services,51861631393.0,0.044996,16.0,1.99214,7.676361
